Proxy Path Suffix,Date Time,Sum of Traffic
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 04:47:00+0000,1
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 04:52:00+0000,2
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 04:55:00+0000,2
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 04:57:00+0000,1
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 04:59:00+0000,1
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 05:02:00+0000,1
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 05:05:00+0000,1
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 05:06:00+0000,1
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 05:07:00+0000,1
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 05:09:00+0000,1
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 05:10:00+0000,1
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 05:12:00+0000,2
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 05:13:00+0000,2
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 05:17:00+0000,0
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 05:18:00+0000,0
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 05:22:00+0000,0
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 05:24:00+0000,0
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 05:26:00+0000,0
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 05:28:00+0000,0
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 05:29:00+0000,0
/424d1a8a-e8ed-11e4-b577-1f4a5dfaa139,2015-05-12 05:30:00+0000,0
